x,y,z,t
161.73780,49.14634,185.94512,15.57726
237.25610,9.96951,92.53049,15.68116
143.71951,-104.87805,131.06707,15.78510
182.89634,-258.26220,27.80488,15.88899
-76.58537,-303.78049,110.60976,15.99292
-51.46341,-101.21951,50.12195,16.09681
-256.79878,-55.48780,41.98171,16.20070
-369.60366,153.93293,121.89024,16.30466
-222.98780,262.31707,188.53659,16.40863
-13.84146,229.72561,173.90244,16.51259
88.17073,86.92073,180.60976,16.61659
315.03049,26.73780,95.18293,16.72050
147.98780,-120.94512,213.04878,16.82448
336.25000,-283.84146,-19.08537,16.92838
20.30488,-234.05488,99.60366,17.03227
-78.68902,-120.48780,58.99390,17.13614
-213.99390,-144.57317,57.31707,17.24004
-275.64024,-41.46341,59.23780,17.34399
-284.57317,70.88415,49.14634,17.44788
-139.78659,206.49390,46.89024,17.55178
27.13415,210.03049,11.64634,17.65567
28.78049,138.50610,100.24390,17.75958
58.10976,159.54268,161.18902,17.86354
201.00610,14.29878,128.20122,17.96743
222.16463,-48.87195,177.77439,18.07131
147.04268,-171.28049,120.45732,18.17521
-4.54268,-163.01829,76.67683,18.27914
-77.46951,-304.14634,179.23780,18.38307
-110.64024,-104.63415,16.85976,18.48696
-608.01829,-143.01829,226.73780,18.59090
-238.81098,140.30488,71.15854,18.69483
-332.74390,270.45732,278.53659,18.79881
96.95122,166.79878,213.71951,18.90273
163.81098,-31.43293,107.04268,19.00667
74.02439,-139.84756,262.40854,19.11061
348.78049,-188.32317,135.15244,19.21450
14.02439,-298.47561,224.81707,19.31842
-4.14634,-165.12195,80.33537,19.42236
-107.19512,-332.34756,56.70732,19.52638
-69.84756,-207.95732,-29.81707,19.63039
-481.70732,-72.65244,205.06098,19.73430
-344.66463,188.47561,178.26220,19.83826
-109.69512,217.53049,70.24390,19.94210
80.88415,137.16463,169.26829,20.04595
10.67073,45.54878,301.25000,20.14981
259.60366,196.00610,216.25000,20.25365
162.16463,-56.09756,139.02439,20.35748
34.42073,-152.89634,-29.32927,20.46136
172.46951,-184.72561,-30.21341,20.56518
214.14634,-277.37805,59.81707,20.66901
75.09146,-225.36585,35.00000,20.77288
-92.86585,-11.49390,62.53049,20.87676
-301.40244,126.09756,67.50000,20.98058
-236.58537,298.59756,-83.53659,21.08448
-169.75610,224.60366,-41.55488,21.18834
-108.87195,152.31707,-25.82317,21.29220
98.99390,-166.46341,-36.31098,21.39608
342.10366,-603.10976,18.23171,21.49999
207.83537,-150.64024,-55.45732,21.60384
5.79268,18.56707,-17.95732,21.70775
-403.04878,222.01220,67.34756,21.81160
-211.64634,339.20732,-70.64024,21.91560
-99.14634,133.01829,-27.19512,22.01953
135.94512,-175.18293,21.37195,22.12341
327.50000,-406.89024,105.60976,22.22728
198.14024,-93.78049,-42.56098,22.33116
-101.09756,81.49390,7.07317,22.43507
-282.19512,280.51829,-40.12195,22.53898
-142.07317,254.90854,-86.92073,22.64290
-104.48171,140.09146,21.79878,22.74686
274.60366,-273.53659,-95.27439,22.85081
245.60976,-432.71341,89.51220,22.95480
164.66463,-67.04268,-43.32317,23.05881
-176.00610,181.46341,-37.40854,23.16284
-298.44512,221.64634,-31.21951,23.26696
-184.29878,223.78049,-44.23780,23.37094
5.85366,20.60976,82.95732,23.47486
257.53049,-467.95732,-27.31707,23.57878
-37.19512,-213.14024,-25.15244,23.68273
-268.26220,-35.64024,51.09756,23.78679
-174.51220,161.09756,46.09756,23.89071
41.49390,-127.59146,-4.72561,23.99464
142.68293,-292.10366,20.64024,24.09857
118.14024,-70.12195,88.93293,24.20245
344.69512,92.71341,-7.46951,24.30638
275.97561,299.66463,-129.69512,24.41031
-81.00610,308.35366,-30.21341,24.51419
-189.11585,155.06098,-60.97561,24.61814
-84.20732,57.92683,-263.35366,24.72228
-126.25000,-46.40244,-195.42683,24.82681
-28.50610,-78.62805,-189.29878,24.93073
-18.29268,31.43293,92.16463,25.03465
30.00000,40.97561,83.96341,25.13857
35.36585,67.65244,93.07927,25.24245
-1.15854,49.81707,105.45732,25.34637
20.36585,36.00610,-23.87195,25.45030
6.70732,-19.84756,-26.58537,25.55420
1.73780,5.18293,-29.93902,25.65856
44.69512,-51.64634,-34.14634,25.76254
-6.58537,6.89024,6.25000,25.86649
21.06707,18.93293,-17.59146,25.97044
48.01829,8.47561,-7.59146,26.07446
36.37195,16.03659,0.70122,26.17844
2.10366,2.22561,-1.67683,26.28245
1.34146,2.28659,-0.45732,26.38643
