x,y,z,t
-94.71342,105.43293,192.55488,15.57726
21.65854,124.39024,171.61585,15.68116
106.94512,61.39024,145.45732,15.78510
164.59146,-43.40244,114.00000,15.88899
129.80488,-121.56098,109.59146,15.99292
87.16463,-151.63415,82.42683,16.09681
-11.64634,-164.72561,72.31707,16.20070
-114.31098,-112.96341,70.48171,16.30466
-195.48780,-8.84756,102.62805,16.40863
-182.93902,97.85366,115.28659,16.51259
-155.01219,135.48171,141.38415,16.61659
-40.64634,151.92683,152.02439,16.72050
62.87195,96.95122,170.25610,16.82448
174.71951,-12.28049,128.73171,16.92838
181.54878,-105.03659,113.87195,17.03227
148.17683,-146.51829,89.54878,17.13614
42.37195,-180.78049,81.97561,17.24004
-42.35366,-164.88414,51.21341,17.34399
-166.51829,-93.93902,64.85975,17.44788
-198.53658,-5.82927,54.31707,17.55178
-177.37195,60.27439,44.84756,17.65567
-128.81707,116.89025,53.43292,17.75958
-62.06707,157.09146,73.82317,17.86354
35.04878,145.77439,89.63414,17.96743
107.43903,94.70122,115.81097,18.07131
131.42073,18.43902,137.57317,18.17521
124.75610,-41.86585,132.85976,18.27914
97.64024,-134.60366,136.46951,18.38307
35.31098,-158.39024,114.20122,18.48696
-130.72561,-177.21951,123.99390,18.59090
-207.89634,-114.90244,114.13415,18.69483
-273.53658,-28.20732,154.50610,18.79881
-238.65244,65.98171,161.40244,18.90273
-183.76219,80.62195,179.43902,19.00667
-47.35366,81.25610,186.57317,19.11061
70.16464,15.53049,199.37195,19.21450
139.51829,-98.25610,188.62805,19.31842
119.29878,-164.64024,161.95122,19.42236
65.09756,-224.82317,151.88415,19.52638
36.32317,-238.44512,93.43903,19.63039
-129.77439,-215.31098,107.42073,19.73430
-201.51219,-117.92073,98.10976,19.83826
-222.62195,-41.39024,96.09147,19.94210
-185.00610,52.51219,118.60366,20.04595
-168.90244,103.21341,184.81707,20.14981
-20.64024,156.94512,187.05488,20.25365
80.72561,108.03049,179.20732,20.35748
109.54878,33.94512,159.29268,20.46136
127.86585,-30.43293,119.39634,20.56518
168.56097,-95.01829,71.10976,20.66901
131.65853,-179.29268,34.85976,20.77288
80.65244,-170.37195,19.56098,20.87676
13.48780,-114.57317,38.92683,20.98058
-68.32317,-17.90854,28.26219,21.08448
-145.10366,82.48781,7.98780,21.18834
-181.89634,158.02439,-4.17683,21.29220
-143.52439,127.03049,-23.94512,21.39608
-14.82317,-18.81098,-33.79878,21.49999
74.06098,-108.65854,-28.18293,21.60384
109.17073,-149.86585,-23.46342,21.70775
50.33537,-135.92683,-4.82927,21.81160
-11.79268,-34.79268,-11.69512,21.91560
-100.04268,112.43293,-20.78049,22.01953
-114.42073,107.52439,-5.41463,22.12341
-50.07927,22.43293,19.29878,22.22728
70.15854,-40.72561,-2.68293,22.33116
92.26829,-92.26829,12.85976,22.43507
55.65854,-62.76829,10.27439,22.53898
0.05488,23.25000,-11.38415,22.64290
-86.34146,132.64634,-28.14634,22.74686
-71.04878,96.69512,-38.68902,22.85081
-1.70732,-6.14634,-22.20122,22.95480
87.66463,-75.65854,-22.84146,23.05881
80.87805,-90.34756,-12.93902,23.16284
42.08537,-74.03659,-23.54268,23.26696
-49.69512,25.42683,-13.33536,23.37094
-97.64634,116.09146,-14.64634,23.47486
-79.07317,35.90854,-11.44512,23.57878
-51.31097,-43.01219,-8.99390,23.68273
-45.27439,-94.46951,7.46951,23.78679
-43.31707,-107.00610,25.53659,23.89071
-36.18903,-136.64634,8.00000,23.99464
-59.15854,-101.47561,17.59146,24.09857
-28.09147,-72.87195,40.40854,24.20245
94.50000,-47.20122,28.69512,24.30638
184.59756,-19.48781,-6.46341,24.41031
160.09756,67.70122,-11.56097,24.51419
93.73780,157.13415,-27.88414,24.61814
53.26829,182.74390,-98.34146,24.72228
-40.92073,154.92073,-135.93293,24.82681
-101.81707,79.26220,-147.85366,24.93073
-89.27439,23.87805,-123.37805,25.03465
-45.45122,1.06098,-94.39025,25.13857
-21.53659,3.00610,-23.10366,25.24245
3.48171,22.25000,37.07317,25.34637
13.25610,45.17683,70.15854,25.45030
18.25610,34.92073,46.40854,25.55420
