x,y,z,t
-2.04268,0.70122,-0.03049,15.71022
-2.07317,0.64024,0.03049,15.81410
-2.07317,0.70122,0.12195,15.91799
-2.13415,0.64024,0.12195,16.02192
-2.04268,0.70122,0.03049,16.12580
-2.04268,0.67073,0.12195,16.22977
-2.04268,0.64024,0.09146,16.33366
-2.16463,0.70122,0.03049,16.43761
-2.07317,0.73171,0.00000,16.54149
-2.13415,0.64024,0.15244,16.64540
-2.13415,0.73171,0.00000,16.74932
-2.10366,0.67073,0.09146,16.85323
-2.07317,0.73171,0.06098,16.95713
-2.01220,0.82317,0.00000,17.06103
-2.13415,0.73171,-0.06098,17.16492
-2.04268,0.70122,0.06098,17.26886
-2.10366,0.67073,0.03049,17.37274
-2.13415,0.85366,-0.06098,17.47668
-2.16463,0.70122,0.03049,17.58061
-2.16463,0.67073,0.00000,17.68453
-2.07317,0.76220,0.00000,17.78853
-2.13415,0.54878,0.12195,17.89251
-2.04268,0.79268,0.09146,17.99651
-2.10366,0.64024,-0.06098,18.10063
-2.19512,0.60976,0.15244,18.20461
-2.10366,0.67073,0.09146,18.30855
-2.01220,0.57927,0.03049,18.41252
-2.13415,0.70122,-0.06098,18.51647
-2.04268,0.73171,0.15244,18.62041
-2.10366,0.67073,0.06098,18.72437
-2.13415,0.73171,0.12195,18.82829
-2.04268,0.64024,0.06098,18.93222
-2.10366,0.88415,0.06098,19.03615
-2.10366,0.79268,-0.06098,19.14005
-2.04268,0.67073,0.00000,19.24393
-2.13415,0.76220,0.12195,19.34780
-2.13415,0.79268,-0.06098,19.45169
-2.10366,0.76220,-0.03049,19.55563
-2.07317,0.79268,0.00000,19.65954
-2.07317,0.67073,0.09146,19.76351
-1.98171,0.79268,7.74390,19.86741
-2.07317,0.76220,0.12195,19.97130
-2.16463,0.73171,0.00000,20.07520
-2.04268,0.70122,0.06098,20.17917
-2.13415,0.60976,0.06098,20.28306
-2.07317,0.73171,0.03049,20.38696
-2.13415,0.64024,0.12195,20.49085
-2.04268,0.70122,0.03049,20.59474
-2.07317,0.73171,-0.09146,20.69870
-2.10366,0.73171,-0.03049,20.80260
-2.19512,0.67073,-0.03049,20.90657
-2.07317,0.67073,-0.06098,21.01055
-2.10366,0.73171,0.06098,21.11451
-2.10366,0.67073,-0.03049,21.21857
-2.10366,0.82317,0.00000,21.32257
-2.07317,0.73171,-0.06098,21.42650
-2.10366,0.76220,0.18293,21.53038
-2.01220,0.79268,0.06098,21.63423
-2.10366,0.76220,0.00000,21.73811
-1.98171,0.79268,0.03049,21.84193
-2.10366,0.67073,0.03049,21.94580
-2.04268,0.67073,0.03049,22.04968
-1.98171,0.73171,0.09146,22.15355
-2.10366,0.70122,0.09146,22.25756
-2.13415,0.76220,0.00000,22.36142
-2.07317,0.70122,0.06098,22.46532
-2.04268,0.64024,0.09146,22.56917
-2.04268,0.67073,-0.03049,22.67302
-2.10366,0.70122,0.12195,22.77687
-2.16463,0.70122,0.18293,22.88074
-2.16463,0.67073,0.00000,22.98461
-2.13415,0.73171,0.12195,23.08849
-2.10366,0.73171,0.12195,23.19239
-2.10366,0.57927,-0.03049,23.29627
-2.10366,0.76220,0.18293,23.40015
-2.10366,0.70122,0.09146,23.50400
-2.13415,0.67073,0.06098,23.60784
-2.04268,0.73171,0.06098,23.71170
-2.04268,0.73171,0.00000,23.81565
-2.10366,0.76220,-0.03049,23.91956
-2.07317,0.70122,0.03049,24.02342
-2.10366,0.73171,-0.09146,24.12733
-2.10366,0.76220,0.15244,24.23128
-2.10366,0.67073,-7.80488,24.33526
