x,y,z,t
-2.06707,0.65244,0.04878,15.81410
-2.08536,0.66463,0.05488,15.91799
-2.09756,0.65854,0.06707,16.02192
-2.07317,0.67683,0.05488,16.12580
-2.07317,0.67073,0.08537,16.22977
-2.06707,0.67073,0.09756,16.33366
-2.08536,0.67073,0.07927,16.43761
-2.07317,0.68902,0.05488,16.54149
-2.09146,0.67683,0.07927,16.64540
-2.10976,0.68902,0.05488,16.74932
-2.12195,0.69512,0.05488,16.85323
-2.10366,0.70122,0.06098,16.95713
-2.09147,0.71951,0.06098,17.06103
-2.09147,0.73781,0.01829,17.16492
-2.07317,0.73171,0.03049,17.26886
-2.07317,0.73171,0.01829,17.37274
-2.08537,0.75610,-0.00610,17.47668
-2.11585,0.73171,0.00000,17.58061
-2.12195,0.71951,0.01220,17.68453
-2.12805,0.73171,0.00000,17.78853
-2.13415,0.70732,0.01829,17.89251
-2.11585,0.69512,0.04878,17.99651
-2.10366,0.68293,0.03049,18.10063
-2.10976,0.67073,0.06097,18.20461
-2.11585,0.65244,0.07927,18.30855
-2.09146,0.65854,0.06097,18.41252
-2.10976,0.64024,0.03049,18.51647
-2.09756,0.65854,0.07317,18.62041
-2.07927,0.67073,0.05488,18.72437
-2.08537,0.68293,0.06098,18.82829
-2.09146,0.69512,0.06707,18.93222
-2.08537,0.73171,0.09147,19.03615
-2.09756,0.74390,0.04878,19.14005
-2.08537,0.74390,0.03659,19.24393
-2.08537,0.75000,0.03659,19.34780
-2.10366,0.78049,0.01219,19.45169
-2.10366,0.75610,-0.00610,19.55563
-2.09756,0.75610,0.00610,19.65954
-2.10366,0.75610,0.02439,19.76351
-2.07317,0.76219,1.54878,19.86741
-2.06098,0.75610,1.58536,19.97130
-2.07317,0.75000,1.59146,20.07520
-2.06707,0.73171,1.60366,20.17917
-2.07927,0.71951,1.59756,20.28306
-2.09756,0.70732,0.05488,20.38696
-2.10976,0.68293,0.05488,20.49085
-2.08537,0.67683,0.06098,20.59474
-2.09146,0.68293,0.03049,20.69870
-2.08537,0.70732,0.01220,20.80260
-2.10976,0.69512,0.00000,20.90657
-2.09756,0.70122,-0.03659,21.01055
-2.10976,0.70732,-0.03049,21.11451
-2.11585,0.69512,-0.01829,21.21857
-2.11585,0.71341,-0.01220,21.32257
-2.09146,0.72561,-0.01829,21.42650
-2.09756,0.74390,0.03049,21.53038
-2.07927,0.75610,0.03049,21.63423
-2.07927,0.77439,0.03659,21.73811
-2.05488,0.76829,0.04268,21.84193
-2.06098,0.75610,0.06098,21.94580
-2.04878,0.73780,0.03049,22.04968
-2.04268,0.72561,0.03659,22.15355
-2.04268,0.71341,0.05488,22.25756
-2.07317,0.70732,0.04878,22.36142
-2.06707,0.71342,0.05488,22.46532
-2.06707,0.70732,0.06707,22.56917
-2.07927,0.69512,0.04268,22.67302
-2.07927,0.69512,0.04878,22.77687
-2.08536,0.68293,0.08537,22.88074
-2.10366,0.67683,0.07317,22.98461
-2.12195,0.69512,0.07927,23.08849
-2.13415,0.70732,0.10976,23.19239
-2.13415,0.68293,0.07927,23.29627
-2.12195,0.69512,0.07927,23.40015
-2.10976,0.70122,0.09756,23.50400
-2.10976,0.68903,0.08537,23.60784
-2.09756,0.68903,0.07317,23.71170
-2.08537,0.71951,0.07927,23.81565
-2.08537,0.71951,0.03659,23.91956
-2.07927,0.71951,0.02439,24.02342
-2.07317,0.73171,-0.00610,24.12733
-2.08537,0.73781,0.01220,24.23128
-2.09756,0.72561,-1.54878,24.33526
-2.10366,0.71342,-1.54268,24.43919
-2.11586,0.71951,-1.53049,24.54326
-2.12805,0.71951,0.04268,24.64718
-2.13415,0.70732,0.00610,24.75102
-2.12195,0.70122,1.56097,24.85490
-2.13415,0.69512,1.57317,24.95879
-2.12805,0.70122,1.56707,25.06268
-2.11585,0.68902,0.01829,25.16658
-2.11585,0.69512,0.03659,25.27051
-2.12195,0.70732,0.04878,25.37444
-2.11585,0.71342,0.05488,25.47833
-2.11585,0.68902,0.05488,25.58225
-2.10366,0.70732,0.05488,25.68614
-2.09146,0.69512,0.03049,25.79002
-2.09756,0.69512,0.03049,25.89385
-2.08537,0.71341,0.02439,25.99770
-2.08537,0.71951,0.04268,26.10156
-2.08537,0.73171,0.04878,26.20544
-2.09146,0.73780,0.06708,26.30930
-2.09146,0.73780,0.05488,26.41334
-2.07317,0.73171,0.04878,26.51721
-2.07317,0.74390,0.02439,26.62106
-2.07317,0.73171,0.00610,26.72491
-2.04878,0.72561,0.00610,26.82876
-2.03659,0.73171,0.03049,26.93264
-2.04878,0.71342,0.03659,27.03653
-2.03658,0.71342,0.03659,27.14042
-2.04878,0.70732,0.06098,27.24426
-2.06707,0.69512,0.06707,27.34813
-2.08537,0.68903,0.06098,27.45208
-2.08537,0.68293,0.06098,27.55605
-2.09146,0.66463,0.06098,27.65998
-2.07927,0.65854,0.06708,27.76399
-2.08537,0.66463,0.06098,27.86788
-2.08537,0.66463,0.06707,27.97174
-2.08537,0.67683,0.06707,28.07562
-2.09756,0.69512,0.07927,28.17947
-2.12805,0.71341,0.07927,28.28330
-2.12195,0.73781,0.10366,28.38714
-2.11585,0.75610,1.64024,28.49101
-2.11585,0.75000,1.65244,28.59484
-2.10976,0.74390,1.63415,28.69868
-2.10366,0.73781,1.61585,28.80254
-2.10366,0.73781,1.61585,28.90639
-2.09756,0.73171,0.05488,29.01025
-2.09756,0.73171,0.03049,29.11412
-2.08536,0.71951,0.04878,29.21799
-2.06707,0.69512,0.03658,29.32185
-2.07317,0.68902,1.56097,29.42573
-2.09146,0.70122,1.57927,29.52960
-2.09146,0.70122,1.57927,29.63346
-2.09756,0.71341,1.57927,29.73732
-2.10366,0.73171,1.60366,29.84121
-2.10976,0.73171,0.05488,29.94507
-2.09146,0.71342,0.07317,30.04892
-2.09146,0.69512,0.09146,30.15278
-2.09756,0.71342,0.07317,30.25669
-2.09146,0.70732,0.06707,30.36059
-2.10366,0.70732,0.07317,30.46448
-2.11585,0.71951,0.05488,30.56840
-2.12195,0.75000,0.05488,30.67231
-2.10366,0.73171,0.04878,30.77627
-2.10976,0.74390,0.04268,30.88022
-2.09147,0.74390,0.04878,30.98413
-2.08537,0.74390,0.04878,31.08824
-2.09147,0.73171,0.05488,31.19218
-2.10976,0.74390,0.06707,31.29608
-2.11586,0.75000,0.09146,31.39997
-2.10366,0.73780,0.08537,31.50385
-2.10366,0.73780,0.08537,31.60776
-2.09756,0.73780,0.08537,31.71176
-2.11585,0.71951,0.10976,31.81564
-2.11585,0.70732,0.08537,31.91951
-2.12805,0.71951,0.07317,32.02338
-2.14024,0.71951,0.08537,32.12724
-2.12195,0.72561,0.07317,32.23115
-2.10366,0.74390,0.07317,32.33502
-2.09756,0.73781,0.07317,32.43888
-2.08537,0.71342,0.07317,32.54274
-2.06098,0.70732,0.06098,32.64680
-2.06707,0.70732,0.06707,32.75068
-2.07317,0.70122,0.05488,32.85457
-2.08536,0.70732,0.04268,32.95846
-2.09146,0.72561,0.06097,33.06236
-2.11585,0.72561,0.04878,33.16624
-2.12805,0.71951,0.04268,33.27012
-2.10366,0.71951,0.01829,33.37401
-2.09146,0.72561,0.04878,33.47793
-2.10976,0.75000,0.05488,33.58184
-2.09756,0.73781,0.06098,33.68577
-2.10366,0.73781,0.06098,33.78967
-2.11585,0.75000,0.07927,33.89362
-2.10976,0.73780,0.05488,33.99758
-2.07927,0.73171,0.05488,34.10156
-2.07927,0.73780,0.04878,34.20558
-2.07317,0.74390,0.08537,34.30953
-2.07927,0.73781,0.10366,34.41341
-2.07927,0.73171,0.11585,34.51731
-2.10366,0.71342,0.09756,34.62122
-2.09146,0.71951,0.10366,34.72510
